trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200430,1.0927,1.0399,1.0039,0.9733,0.8881,0.8434,0.8131,0.7581,0.7147,1.0927,0.6402,-0.4525
20200403,1.102,1.0562,1.0123,0.9947,0.9066,0.8546,0.8266,0.7853,0.7299,1.102,0.6497,-0.45230000000000004
20200331,1.1034,1.0587,1.0136,0.9968,0.9097,0.8566,0.8293,0.7898,0.7324,1.1034,0.6516,-0.4518
20200427,1.0941,1.0428,1.0054,0.9766,0.8911,0.8453,0.8154,0.7621,0.7174,1.0941,0.6427,-0.4514
20200318,1.1082,1.0708,1.0177,1.0031,0.9198,0.8633,0.8365,0.8026,0.741,1.1082,0.6573,-0.4509000000000001
20200506,1.0922,1.039,1.0034,0.9722,0.8872,0.8429,0.8124,0.757,0.7139,1.0922,0.642,-0.45020000000000004
20200326,1.105,1.0615,1.0149,0.9989,0.913,0.8586,0.8318,0.7938,0.7349,1.105,0.6554,-0.4496
20200324,1.1061,1.0638,1.0158,1.0003,0.9152,0.8601,0.8333,0.7967,0.7367,1.1061,0.6573,-0.4488000000000001
20200330,1.104,1.0596,1.0141,0.9976,0.9108,0.8573,0.8301,0.7911,0.7332,1.104,0.6554,-0.4486000000000001
20200424,1.0945,1.0438,1.0059,0.9777,0.8921,0.8459,0.8161,0.7636,0.7182,1.0945,0.6484,-0.44610000000000005
20200320,1.1071,1.067,1.0167,1.0016,0.9175,0.8616,0.8349,0.7997,0.7388,1.1071,0.6611,-0.44599999999999995
20200413,1.0992,1.0523,1.0102,0.9887,0.9013,0.8514,0.8223,0.7771,0.7258,1.0992,0.6535,-0.4457
20200213,1.1158,1.0942,1.0281,1.0196,0.9486,0.8802,0.8546,0.8273,0.7562,1.1158,0.6705,-0.4452999999999999
20200402,1.1025,1.057,1.0127,0.9954,0.9076,0.8553,0.8274,0.7868,0.7307,1.1025,0.6573,-0.44520000000000004
20200410,1.0998,1.0532,1.0106,0.9903,0.9024,0.852,0.8232,0.7787,0.7267,1.0998,0.6554,-0.44440000000000013
20200210,1.1167,1.0967,1.0295,1.0213,0.9523,0.8827,0.8567,0.8296,0.7586,1.1167,0.6724,-0.44430000000000003
20200325,1.1055,1.0625,1.0154,0.9996,0.9141,0.8593,0.8325,0.7952,0.7358,1.1055,0.663,-0.4424999999999999
20200408,1.1009,1.0548,1.0115,0.9928,0.9045,0.8533,0.8248,0.7819,0.7283,1.1009,0.6592,-0.4417
20200327,1.1045,1.0606,1.0145,0.9982,0.9119,0.8579,0.831,0.7925,0.734,1.1045,0.663,-0.4415
20200409,1.1004,1.054,1.011,0.9917,0.9034,0.8527,0.824,0.7803,0.7275,1.1004,0.6592,-0.44120000000000004
