trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,min1,max1,pb1,mindif,maxdif
20090408,3.0402,3.0943,3.4142,3.6896,4.0005,4.2274,3.8909,2.8785,2.3218,2.3218,4.2274,2.58,0.2582,-1.6474000000000002
20090409,3.0397,3.0945,3.4152,3.6906,4.001,4.2242,3.8795,2.8713,2.3227,2.3227,4.2242,2.61,0.28729999999999967,-1.6141999999999999
20090410,3.0393,3.0946,3.4162,3.6916,4.0015,4.2208,3.868,2.8652,2.324,2.324,4.2208,2.68,0.3560000000000003,-1.5407999999999995
20090413,3.0389,3.0948,3.4172,3.6927,4.0022,4.2176,3.8561,2.8591,2.3266,2.3266,4.2176,2.75,0.4234,-1.4676
20090414,3.0386,3.0951,3.4183,3.6939,4.0031,4.2144,3.8446,2.8531,2.3289,2.3289,4.2144,2.77,0.44110000000000005,-1.4444000000000004
20090415,3.0383,3.0955,3.4195,3.6951,4.004,4.2111,3.8326,2.8484,2.332,2.332,4.2111,2.78,0.44799999999999995,-1.4311000000000003
20090416,3.038,3.0958,3.4206,3.6963,4.0049,4.2079,3.8208,2.8434,2.3352,2.3352,4.2079,2.78,0.44479999999999986,-1.4279000000000006
20090417,3.0377,3.0962,3.4218,3.6975,4.0058,4.2045,3.8092,2.8387,2.3394,2.3394,4.2045,2.75,0.4106000000000001,-1.4545000000000003
20090420,3.0374,3.0965,3.4229,3.6987,4.0067,4.2011,3.7982,2.8342,2.3431,2.3431,4.2011,2.8,0.45689999999999964,-1.4011000000000005
20090421,3.0372,3.0969,3.4241,3.6999,4.0076,4.1977,3.7873,2.8305,2.3469,2.3469,4.1977,2.77,0.4230999999999998,-1.4277000000000002
20090422,3.037,3.0974,3.4253,3.7011,4.0085,4.1946,3.7768,2.8266,2.3506,2.3506,4.1946,2.69,0.3393999999999999,-1.5046000000000004
20090423,3.0367,3.0978,3.4264,3.7021,4.0093,4.1911,3.7653,2.8221,2.3543,2.3543,4.1911,2.7,0.34570000000000034,-1.4910999999999994
20090424,3.0365,3.0982,3.4275,3.7032,4.0101,4.1873,3.7537,2.817,2.3583,2.3583,4.1873,2.68,0.3217000000000003,-1.5072999999999994
20090427,3.0362,3.0985,3.4285,3.7042,4.0109,4.1835,3.7429,2.8104,2.3625,2.3625,4.1835,2.62,0.2575000000000003,-1.5635000000000003
20090428,3.0359,3.0988,3.4295,3.7051,4.0115,4.1795,3.732,2.8037,2.3675,2.3675,4.1795,2.58,0.2124999999999999,-1.5995
20090429,3.0356,3.0992,3.4305,3.706,4.012,4.1754,3.7206,2.7973,2.3716,2.3716,4.1754,2.64,0.2684000000000002,-1.5353999999999997
20090430,3.0354,3.0995,3.4316,3.707,4.0126,4.1716,3.7091,2.7911,2.3769,2.3769,4.1716,2.64,0.2631000000000001,-1.5315999999999996
20090504,3.0352,3.0999,3.4327,3.708,4.0132,4.1676,3.6976,2.7841,2.382,2.382,4.1676,2.73,0.34799999999999986,-1.4376000000000002
20090505,3.035,3.1003,3.4339,3.709,4.0139,4.1636,3.6864,2.7772,2.3881,2.3881,4.1636,2.73,0.34189999999999987,-1.4335999999999998
20090506,3.0349,3.1008,3.4352,3.71,4.0146,4.1594,3.6757,2.7705,2.3943,2.3943,4.1594,2.76,0.3656999999999999,-1.3994
20090507,3.0349,3.1012,3.4365,3.7109,4.0153,4.1551,3.6655,2.7646,2.4009,2.4009,4.1551,2.77,0.3691,-1.3851
20090508,3.0348,3.1018,3.4379,3.7118,4.016,4.151,3.6557,2.7584,2.407,2.407,4.151,2.8,0.3929999999999998,-1.351
20090511,3.0349,3.1023,3.4392,3.7128,4.0167,4.1469,3.6457,2.7526,2.4137,2.4137,4.1469,2.75,0.33630000000000004,-1.3968999999999996
20090512,3.0349,3.1029,3.4405,3.7136,4.0174,4.143,3.6364,2.7466,2.4198,2.4198,4.143,2.79,0.3702000000000001,-1.3529999999999998
20090513,3.0349,3.1034,3.4419,3.7144,4.0181,4.139,3.6273,2.7409,2.4249,2.4249,4.139,2.84,0.4150999999999998,-1.2990000000000004
20090514,3.035,3.104,3.4432,3.7153,4.0189,4.135,3.6186,2.735,2.4308,2.4308,4.135,2.81,0.3792,-1.3249999999999997
20090515,3.035,3.1046,3.4446,3.7161,4.0196,4.1309,3.6101,2.729,2.4363,2.4363,4.1309,2.81,0.3736999999999999,-1.3208999999999995
20090518,3.0351,3.1052,3.4459,3.717,4.0204,4.1267,3.6007,2.7231,2.4411,2.4411,4.1267,2.82,0.3788999999999998,-1.3066999999999998
20090519,3.0352,3.1058,3.4473,3.7178,4.0211,4.1225,3.5914,2.7174,2.4456,2.4456,4.1225,2.84,0.39439999999999964,-1.2824999999999998
20090520,3.0353,3.1063,3.4487,3.7186,4.0218,4.1181,3.5824,2.7125,2.4497,2.4497,4.1181,2.82,0.37029999999999985,-1.2981000000000003
20090521,3.0354,3.1069,3.4501,3.7195,4.0224,4.1137,3.5719,2.707,2.4548,2.4548,4.1137,2.77,0.3151999999999999,-1.3436999999999997
20090522,3.0355,3.1073,3.4515,3.7204,4.023,4.1092,3.5611,2.7017,2.4585,2.4585,4.1092,2.76,0.3014999999999999,-1.3492000000000006
20090525,3.0356,3.1078,3.4528,3.7212,4.0236,4.1045,3.5507,2.6963,2.4625,2.4625,4.1045,2.77,0.3075000000000001,-1.3344999999999998
20090526,3.0356,3.1082,3.4541,3.722,4.024,4.0995,3.5411,2.6915,2.4666,2.4666,4.0995,2.75,0.2833999999999999,-1.3495
20090527,3.0357,3.1087,3.4554,3.7227,4.0245,4.0952,3.5312,2.6865,2.4713,2.4713,4.0952,2.8,0.3287,-1.2952000000000004
20090601,3.0359,3.1092,3.4567,3.7235,4.025,4.0908,3.5218,2.6814,2.4765,2.4765,4.0908,2.91,0.4335,-1.1807999999999996
20090602,3.0361,3.1097,3.4582,3.7245,4.0257,4.0869,3.513,2.6769,2.4825,2.4825,4.0869,2.91,0.4275000000000002,-1.1768999999999998
20090603,3.0363,3.1103,3.4597,3.7253,4.0264,4.0838,3.5043,2.6723,2.4882,2.4882,4.0838,2.97,0.48180000000000023,-1.1138
20090604,3.0365,3.1109,3.4612,3.7263,4.0273,4.0805,3.4951,2.6678,2.4949,2.4949,4.0805,2.99,0.4951000000000003,-1.0904999999999996
20090605,3.0368,3.1116,3.4628,3.7273,4.0281,4.0773,3.4864,2.6635,2.5016,2.5016,4.0773,2.98,0.47840000000000016,-1.0973000000000002
20090608,3.037,3.1123,3.4643,3.7283,4.0289,4.0738,3.4777,2.6594,2.5084,2.5084,4.0738,3.0,0.49160000000000004,-1.0738000000000003
20090609,3.0372,3.113,3.4659,3.7295,4.0296,4.0703,3.4689,2.6555,2.5145,2.5145,4.0703,3.03,0.5154999999999998,-1.0402999999999998
20090610,3.0375,3.1137,3.4676,3.7307,4.0304,4.0667,3.4597,2.6518,2.5206,2.5206,4.0667,3.06,0.5394000000000001,-1.0067
20090611,3.0379,3.1145,3.4692,3.732,4.0311,4.0629,3.4507,2.6495,2.5267,2.5267,4.0629,3.05,0.5232999999999999,-1.0129000000000001
20090612,3.0382,3.1152,3.4709,3.7333,4.0319,4.0589,3.4414,2.6474,2.5321,2.5321,4.0589,2.99,0.4579000000000004,-1.0689000000000002
20090615,3.0386,3.1159,3.4725,3.7346,4.0325,4.0549,3.4317,2.6453,2.5375,2.5375,4.0549,3.06,0.5225,-0.9948999999999999
20090616,3.039,3.1167,3.4742,3.7359,4.0334,4.051,3.4223,2.6439,2.5431,2.5431,4.051,3.05,0.5068999999999999,-1.0010000000000003
20090617,3.0394,3.1174,3.4759,3.7373,4.0341,4.0467,3.4131,2.6424,2.5491,2.5491,4.0467,3.08,0.5308999999999999,-0.9667000000000003
20090618,3.0399,3.1183,3.4776,3.7386,4.0348,4.0425,3.4045,2.6414,2.5561,2.5561,4.0425,3.14,0.5839000000000003,-0.9025000000000003
20090619,3.0404,3.1191,3.4793,3.74,4.0355,4.0385,3.3958,2.6398,2.5634,2.5634,4.0385,3.17,0.6065999999999998,-0.8685
20090622,3.0409,3.12,3.4811,3.7414,4.0363,4.0345,3.3878,2.6392,2.571,2.571,4.0363,3.2,0.629,-0.8362999999999996
20090623,3.0415,3.1209,3.4829,3.7428,4.037,4.0309,3.38,2.6384,2.5788,2.5788,4.037,3.21,0.6311999999999998,-0.827
20090624,3.0421,3.1218,3.4847,3.7442,4.0377,4.0277,3.3719,2.6379,2.5862,2.5862,4.0377,3.24,0.6538000000000004,-0.7976999999999999
20090625,3.0427,3.1228,3.4865,3.7457,4.0383,4.0244,3.3635,2.6373,2.5939,2.5939,4.0383,3.25,0.6560999999999999,-0.7882999999999996
20090626,3.0434,3.1238,3.4884,3.7471,4.039,4.0209,3.3549,2.6362,2.602,2.602,4.039,3.27,0.6680000000000001,-0.7689999999999997
20090629,3.044,3.1248,3.4902,3.7485,4.0397,4.0178,3.346,2.6352,2.611,2.611,4.0397,3.32,0.7089999999999996,-0.7197
20090630,3.0447,3.1259,3.4922,3.75,4.0406,4.0151,3.3374,2.6351,2.6207,2.6207,4.0406,3.3,0.6793,-0.7406000000000006
20090701,3.0454,3.1269,3.4941,3.7515,4.0412,4.0124,3.3287,2.635,2.6304,2.6304,4.0412,3.36,0.7296,-0.6812
20090702,3.0461,3.1281,3.496,3.753,4.0419,4.0096,3.3199,2.6356,2.6406,2.6356,4.0419,3.42,0.7843999999999998,-0.6219000000000001
20090703,3.047,3.1292,3.498,3.7545,4.0425,4.0072,3.3114,2.6364,2.6512,2.6364,4.0425,3.45,0.8136000000000001,-0.5925000000000002
20090706,3.0478,3.1304,3.5001,3.7561,4.0431,4.0052,3.3031,2.6371,2.6624,2.6371,4.0431,3.49,0.8529,-0.5530999999999997
20090707,3.0487,3.1316,3.5022,3.7577,4.0435,4.003,3.2948,2.6382,2.6739,2.6382,4.0435,3.45,0.8118000000000003,-0.5934999999999997
20090708,3.0495,3.1329,3.5042,3.7592,4.0438,4.0004,3.2861,2.6384,2.6846,2.6384,4.0438,3.43,0.7916000000000003,-0.6137999999999999
20090709,3.0503,3.134,3.5062,3.7608,4.0442,3.9978,3.2774,2.6386,2.6946,2.6386,4.0442,3.47,0.8314000000000004,-0.5741999999999998
20090710,3.0511,3.1353,3.5082,3.7623,4.0446,3.9953,3.2688,2.6383,2.7051,2.6383,4.0446,3.46,0.8216999999999999,-0.5846
20090713,3.0519,3.1365,3.5102,3.7639,4.0448,3.9926,3.26,2.6382,2.716,2.6382,4.0448,3.42,0.7818,-0.6248000000000005
20090714,3.0527,3.1377,3.5122,3.7654,4.0448,3.9898,3.251,2.638,2.7263,2.638,4.0448,3.49,0.8520000000000003,-0.5548000000000002
20090715,3.0535,3.139,3.5142,3.7671,4.0451,3.9874,3.2422,2.638,2.7372,2.638,4.0451,3.54,0.9020000000000001,-0.5050999999999997
20090716,3.0544,3.1403,3.5162,3.7689,4.0457,3.985,3.2334,2.6388,2.7489,2.6388,4.0457,3.53,0.8912,-0.5157000000000003
20090717,3.0553,3.1417,3.5183,3.7706,4.046,3.9824,3.2248,2.6398,2.7598,2.6398,4.046,3.53,0.8901999999999997,-0.5160000000000005
20090720,3.0562,3.143,3.5203,3.7724,4.0463,3.9798,3.2166,2.6409,2.771,2.6409,4.0463,3.62,0.9791000000000003,-0.42629999999999946
20090721,3.0572,3.1444,3.5224,3.7743,4.0468,3.9771,3.2093,2.6419,2.7825,2.6419,4.0468,3.56,0.9180999999999999,-0.4868000000000001
20090722,3.0582,3.1458,3.5245,3.7762,4.0473,3.9739,3.2016,2.6423,2.7931,2.6423,4.0473,3.65,1.0076999999999998,-0.3973
20090723,3.0591,3.1472,3.5267,3.7781,4.0478,3.9709,3.1951,2.6432,2.8045,2.6432,4.0478,3.69,1.0467999999999997,-0.3577999999999997
20090724,3.0601,3.1487,3.5289,3.7801,4.0481,3.9677,3.1899,2.6442,2.8163,2.6442,4.0481,3.73,1.0857999999999999,-0.3180999999999998
20090727,3.0611,3.1502,3.5312,3.7822,4.0479,3.9645,3.1844,2.645,2.8283,2.645,4.0479,3.81,1.165,-0.23790000000000022
