trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20011203,4.5861,3.934,3.8939,3.8934,3.926,3.905,3.8585,3.9497,3.8648,3.3702,2.2572,3.3702,3.8585,3.8648,4.5861,3.9497,3.934,7.4
20011204,4.5728,3.9322,3.892,3.891,3.9243,3.901,3.8565,3.9443,3.8589,3.346,2.2633,3.346,3.8565,3.8589,4.5728,3.9443,3.9322,7.53
20011205,4.5594,3.9305,3.8902,3.8887,3.9227,3.897,3.8546,3.939,3.8531,3.322,2.3031,3.322,3.8531,3.8546,4.5594,3.939,3.9305,7.44
20011206,4.5458,3.9287,3.8883,3.8863,3.921,3.893,3.8527,3.9333,3.8471,3.2985,2.2755,3.2985,3.8471,3.8527,4.5458,3.9333,3.9287,7.43
20011207,4.5307,3.9269,3.8864,3.8839,3.9192,3.8891,3.8507,3.9277,3.8411,3.2751,2.2725,3.2751,3.8411,3.8507,4.5307,3.9277,3.9269,7.38
20011210,4.5157,3.9251,3.8845,3.8815,3.9175,3.885,3.8488,3.922,3.8348,3.2519,2.2572,3.2519,3.8348,3.8488,4.5157,3.9251,3.922,7.38
20011211,4.5006,3.9233,3.8825,3.8791,3.9158,3.8809,3.8469,3.9163,3.8287,3.229,2.2572,3.229,3.8287,3.8469,4.5006,3.9233,3.9163,7.28
20011212,4.4859,3.9215,3.8807,3.8768,3.9138,3.8768,3.845,3.9107,3.8226,3.2063,2.2266,3.2063,3.8226,3.845,4.4859,3.9215,3.9138,7.14
20011213,4.4717,3.9196,3.8787,3.8746,3.9118,3.8731,3.843,3.905,3.8163,3.1838,2.1838,3.1838,3.8163,3.843,4.4717,3.9196,3.9118,7.03
20011214,4.4576,3.9178,3.8768,3.8724,3.9098,3.8694,3.841,3.8991,3.8102,3.1616,2.1501,3.1616,3.8102,3.841,4.4576,3.9178,3.9098,7.05
20011217,4.4433,3.9159,3.8748,3.8703,3.9077,3.8657,3.839,3.8932,3.8043,3.1384,2.1562,3.1384,3.8043,3.839,4.4433,3.9159,3.9077,7.13
20011218,4.4292,3.9141,3.873,3.8681,3.9058,3.8623,3.837,3.8872,3.7984,3.1158,2.1807,3.1158,3.7984,3.837,4.4292,3.9141,3.9058,7.3
20011219,4.4152,3.9123,3.8713,3.866,3.9039,3.859,3.8352,3.8803,3.7928,3.0934,2.2327,3.0934,3.7928,3.8352,4.4152,3.9123,3.9039,7.19
20011220,4.4011,3.9104,3.8695,3.8639,3.902,3.8557,3.8333,3.8733,3.7871,3.069,2.1991,3.069,3.7871,3.8333,4.4011,3.9104,3.902,7.0
20011221,4.3871,3.9083,3.8677,3.8618,3.9,3.8524,3.8314,3.866,3.781,3.0443,2.141,3.0443,3.781,3.8314,4.3871,3.9083,3.9,7.02
20011224,4.373,3.9061,3.866,3.8596,3.8982,3.8491,3.8293,3.8591,3.775,3.021,2.1471,3.021,3.775,3.8293,4.373,3.9061,3.8982,6.86
20011225,4.3585,3.9039,3.8642,3.8574,3.8961,3.8458,3.8271,3.8521,3.769,2.9975,2.0981,2.9975,3.769,3.8271,4.3585,3.9039,3.8961,7.03
20011226,4.3442,3.9018,3.8624,3.8553,3.894,3.8426,3.8249,3.8458,3.7628,2.9747,2.1501,2.9747,3.7628,3.8249,4.3442,3.9018,3.894,7.01
20011227,4.33,3.8996,3.8608,3.8533,3.8921,3.8392,3.8228,3.839,3.7568,2.9518,2.144,2.9518,3.7568,3.8228,4.33,3.8996,3.8921,7.05
20011228,4.3157,3.8976,3.8591,3.8512,3.8902,3.8359,3.8208,3.8322,3.7508,2.929,2.1562,2.929,3.7508,3.8208,4.3157,3.8976,3.8902,7.17
20011231,4.3016,3.8955,3.8575,3.8492,3.8883,3.8327,3.8189,3.8254,3.7445,2.9071,2.193,2.9071,3.7445,3.8189,4.3016,3.8955,3.8883,7.34
20020104,4.2874,3.8935,3.8561,3.8474,3.8865,3.8293,3.8171,3.819,3.7382,2.8851,2.2449,2.8851,3.7382,3.8171,4.2874,3.8935,3.8865,7.13
20020107,4.2729,3.8916,3.8545,3.8454,3.8846,3.8258,3.8151,3.8126,3.7316,2.8628,2.1807,2.8628,3.7316,3.8126,4.2729,3.8916,3.8846,7.19
20020108,4.2589,3.8897,3.8528,3.8434,3.8829,3.8224,3.8133,3.8062,3.7249,2.8399,2.1991,2.8399,3.7249,3.8062,4.2589,3.8897,3.8829,7.19
20020109,4.2449,3.8878,3.8512,3.8414,3.8812,3.819,3.8115,3.7995,3.7185,2.8171,2.1991,2.8171,3.7185,3.7995,4.2449,3.8878,3.8812,7.04
20020110,4.2311,3.8859,3.8494,3.8393,3.8794,3.8157,3.8095,3.793,3.712,2.7943,2.1532,2.7943,3.712,3.793,4.2311,3.8859,3.8794,7.14
20020111,4.2173,3.884,3.8476,3.8373,3.8776,3.8123,3.8075,3.7864,3.7053,2.7713,2.1838,2.7713,3.7053,3.7864,4.2173,3.884,3.8776,7.0
20020114,4.2035,3.882,3.8458,3.8352,3.8758,3.8088,3.8055,3.7799,3.6983,2.7484,2.141,2.7484,3.6983,3.7799,4.2035,3.882,3.8758,6.74
20020115,4.1894,3.8799,3.844,3.8331,3.8739,3.8052,3.8033,3.7733,3.6909,2.725,2.0614,2.725,3.6909,3.7733,4.1894,3.8799,3.8739,6.61
20020116,4.1755,3.8779,3.8421,3.8309,3.872,3.8016,3.8012,3.766,3.6832,2.7017,2.0217,2.7017,3.6832,3.766,4.1755,3.8779,3.872,6.86
20020117,4.1617,3.876,3.8404,3.8289,3.8702,3.7981,3.7992,3.7586,3.6753,2.6783,2.0981,2.6783,3.6753,3.7586,4.1617,3.876,3.8702,6.61
20020118,4.148,3.8739,3.8386,3.8267,3.8683,3.7944,3.797,3.7512,3.6671,2.654,2.0217,2.654,3.6671,3.7512,4.148,3.8739,3.8683,6.59
20020121,4.1339,3.8719,3.8369,3.8246,3.8663,3.7907,3.7948,3.7436,3.6588,2.6296,2.0156,2.6296,3.6588,3.7436,4.1339,3.8719,3.8663,6.38
