,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20051109,-0.137,3.6,-27367.6,27367.6,0.0,27325.04
1,20051110,-0.123,3.42,-24288.78,51656.38,0.0,50209.69
2,20051111,-0.109,3.44,-21678.05,73334.43,0.0,72147.6
3,20051114,-0.115,3.43,-22987.42,96321.84999999999,0.0,94889.47
4,20051115,-0.135,3.4,-26867.51,123189.35999999999,0.0,120885.14
5,20051116,-0.135,3.4,-26867.51,150056.87,0.0,147710.77
6,20051117,-0.155,3.37,-30675.58,180732.45,0.0,177035.16
7,20051118,-0.094,3.46,-18689.54,199421.99000000002,0.0,200423.35
8,20051121,-0.074,3.49,-14663.42,214085.41000000003,0.0,216800.43
9,20051122,-0.155,3.37,-30675.58,244760.99000000005,0.0,239973.52
10,20051123,-0.114,3.43,-22644.32,267405.31000000006,0.0,266855.21
11,20051124,-0.122,3.42,-24288.78,291694.0900000001,0.0,290328.12
12,20051125,-0.114,3.43,-22644.32,314338.4100000001,0.0,313786.11
13,20051128,-0.101,3.45,-20015.58,334353.9900000001,0.0,335600.22
14,20051129,-0.115,3.43,-22987.42,357341.4100000001,0.0,356606.26
15,20051130,-0.102,3.45,-20360.68,377702.0900000001,0.0,379014.62
16,20051201,-0.122,3.42,-24288.78,401990.8700000001,0.0,399969.69
17,20051202,-0.183,3.33,-36307.16,438298.03000000014,0.0,425694.4
18,20051205,-0.283,3.18,-56301.84,494599.8700000001,0.0,462732.27
19,20051206,-0.273,3.19,-54564.35,549164.2200000001,0.0,518666.55
20,20051207,-0.251,3.22,-49924.03,599088.2500000001,0.0,573390.51
21,20051208,-0.229,3.25,-45512.78,644601.0300000001,0.0,624174.55
22,20051209,-0.207,3.28,-41339.59,685940.6200000001,0.0,671211.42
23,20051212,-0.173,3.33,-34308.6,720249.2200000001,0.0,715698.71
24,20051213,-0.043,3.52,-8453.24,728702.4600000001,0.0,764972.8
25,20051214,-0.071,3.48,-13925.4,742627.8600000001,0.0,770181.88
26,20051215,-0.098,3.44,-19269.56,761897.4200000002,0.0,780568.32
27,20051216,-0.058,3.5,-11555.33,773452.7500000001,0.0,805718.51
28,20051219,-0.099,3.44,-19613.57,793066.3200000001,0.0,811488.72
29,20051220,-0.092,3.45,-18290.53,811356.8500000001,0.0,832109.38
30,20051221,-0.126,3.4,-25167.03,836523.8800000001,0.0,845177.29
31,20051222,-0.112,3.42,-22236.21,858760.0900000001,0.0,872350.62
32,20051223,-0.078,3.47,-15273.44,874033.53,0.0,900353.14
33,20051226,-0.065,3.49,-12918.37,886951.9,0.0,918439.13
34,20051227,-0.093,3.45,-18290.53,905242.43,0.0,926173.92
35,20051228,-0.087,3.46,-17305.5,922547.93,0.0,946136.44
36,20051229,-0.063,3.5,-12605.36,935153.29,0.0,969658.64
37,20051230,-0.094,3.45,-18635.54,953788.8300000001,0.0,974412.15
38,20060104,-0.06,3.49,-11871.34,965660.17,0.0,997560.83
39,20060105,-0.013,3.58,-2511.07,968171.24,0.0,1025789.43
40,20060106,-0.015,3.58,-2869.08,971040.32,0.0,1028649.77
41,20060109,-0.102,3.64,-20389.66,991429.98,0.0,1066248.16
42,20060110,-0.106,3.63,-21059.84,1012489.82,0.0,1084345.92
43,20060111,-0.03,3.57,-5717.16,1018206.98,0.0,1072127.06
44,20060112,-0.094,3.64,-18569.51,1036776.49,0.0,1111690.03
45,20060113,-0.079,3.66,-15743.43,1052519.92,0.0,1133516.28
46,20060116,-0.035,3.57,-6788.19,1059308.1099999999,0.0,1112416.5
47,20060117,-0.036,3.57,-7145.2,1066453.3099999998,0.0,1119547.38
48,20060118,-0.078,3.65,-15335.42,1081788.7299999997,0.0,1159946.39
49,20060119,-0.008,3.75,-1505.04,1083293.7699999998,0.0,1193224.7
50,20060120,0.196,3.78,38884.3,1083293.7699999998,38884.3,1163886.45
51,20060123,0.211,3.8,42126.17,1083293.7699999998,81010.47,1127918.58
52,20060124,0.197,3.78,39261.82,1083293.7699999998,120272.29000000001,1082720.19
53,20060125,-0.001,3.75,-0.0,1083293.7699999998,120272.29000000001,1074126.95
54,20060206,0.22,3.82,43873.94,1083293.7699999998,164146.23,1050303.91
55,20060207,0.204,3.8,40608.11,1083293.7699999998,204754.34000000003,1004196.69
56,20060208,0.268,3.9,53361.84,1083293.7699999998,258116.18000000002,977261.77
57,20060209,0.183,3.78,36241.68,1083293.7699999998,294357.86000000004,910949.73
58,20060210,0.241,3.87,47926.78,1083293.7699999998,342284.64,884712.81
59,20060213,0.258,3.9,51414.33,1083293.7699999998,393698.97000000003,840156.89
60,20060214,0.256,3.9,51024.83,1083293.7699999998,444723.80000000005,789132.07
61,20060215,0.226,3.86,45104.38,1083293.7699999998,489828.18000000005,735933.82
62,20060216,-0.023,3.7,-4445.12,1087738.89,489828.18000000005,709862.33
63,20060217,-0.003,3.66,-371.01,1088109.9,489828.18000000005,702553.47
64,20060220,-0.02,3.7,-3705.1,1091815.0,489828.18000000005,713927.13
