trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb61,min1,min2,min3,max1,max2,max3,close,pb1,maxdif
20111128,2.8404,2.768,2.312,2.1989,2.1999,2.0632,1.901,1.8141,1.7548,1.6699,1.6699,1.7548,1.8141,2.8404,2.768,2.312,4.23,1.6391,-1.2012999999999998
20111130,2.8394,2.7661,2.3096,2.1982,2.1989,2.0609,1.8996,1.8129,1.7532,1.6671,1.6671,1.7532,1.8129,2.8394,2.7661,2.3096,4.19,1.6236,-1.2158
20111201,2.8383,2.7641,2.3072,2.1975,2.1978,2.0586,1.8983,1.8118,1.7518,1.666,1.666,1.7518,1.8118,2.8383,2.7641,2.3072,4.28,1.6585,-1.1797999999999997
20111202,2.8373,2.762,2.3049,2.1966,2.1968,2.0563,1.8973,1.811,1.7508,1.666,1.666,1.7508,1.811,2.8373,2.762,2.3049,4.25,1.6469,-1.1904
20111205,2.8363,2.7599,2.3026,2.1958,2.1958,2.0541,1.8962,1.8101,1.7498,1.6656,1.6656,1.7498,1.8101,2.8363,2.7599,2.3026,4.28,1.6585,-1.1778
20111206,2.8353,2.7578,2.3003,2.195,2.1948,2.0517,1.8952,1.809,1.7489,1.6652,1.6652,1.7489,1.809,2.8353,2.7578,2.3003,4.2,1.6275,-1.2078000000000002
20111207,2.8342,2.7557,2.2979,2.194,2.1938,2.0492,1.8939,1.8079,1.7477,1.6644,1.6644,1.7477,1.8079,2.8342,2.7557,2.2979,4.17,1.6159,-1.2183000000000002
20111208,2.833,2.7537,2.2955,2.193,2.1927,2.0466,1.8926,1.8068,1.7466,1.6636,1.6636,1.7466,1.8068,2.833,2.7537,2.2955,4.16,1.612,-1.221
20111209,2.8319,2.7517,2.2931,2.192,2.1917,2.044,1.8913,1.8056,1.7453,1.6628,1.6628,1.7453,1.8056,2.8319,2.7517,2.2931,4.17,1.6159,-1.2160000000000002
20111212,2.8308,2.7497,2.2907,2.191,2.1906,2.0415,1.89,1.8046,1.7437,1.6621,1.6621,1.7437,1.8046,2.8308,2.7497,2.2907,4.12,1.5965,-1.2343
20111213,2.8296,2.7477,2.2884,2.19,2.1896,2.039,1.8883,1.8036,1.7422,1.6609,1.6609,1.7422,1.8036,2.8296,2.7477,2.2884,4.15,1.6081,-1.2215
20111214,2.8284,2.7458,2.2861,2.189,2.1886,2.0367,1.8867,1.8026,1.7402,1.6596,1.6596,1.7402,1.8026,2.8284,2.7458,2.2861,4.1,1.5888,-1.2395999999999998
20111215,2.8271,2.7438,2.2838,2.188,2.1875,2.0343,1.8852,1.8014,1.738,1.6577,1.6577,1.738,1.8014,2.8271,2.7438,2.2838,4.11,1.5926,-1.2345000000000002
