,代码,名称,盈利额
0,688680,海优新材,55315.0
1,301017,漱玉平民,50816.0
2,688689,银河微电,50242.0
3,300260,新莱应材,48930.0
4,688599,天合光能,46440.0
5,688711,宏微科技,43933.0
6,300643,万通智控,43745.0
7,300052,中青宝,42934.0
8,000681,视觉中国,42056.0
9,603348,文灿股份,41912.0
10,000829,天音控股,41867.0
11,301041,金百泽,41843.0
12,688536,思瑞浦,41820.0
13,002529,海源复材,41796.0
14,300192,科德教育,41211.0
15,002459,晶澳科技,40938.0
16,300514,友讯达,40682.0
17,605117,德业股份,40585.0
18,300609,汇纳科技,40580.0
19,603396,金辰股份,39918.0
20,300478,杭州高新,38986.0
21,300751,迈为股份,38886.0
22,300629,新劲刚,37893.0
23,301013,利和兴,37025.0
24,603596,伯特利,36870.0
25,301025,读客文化,36549.0
26,301069,凯盛新材,36549.0
27,688667,菱电电控,36243.0
28,688556,高测股份,35338.0
29,688596,正帆科技,34996.0
30,002434,万里扬,34114.0
31,300332,天壕环境,33962.0
32,300338,开元教育,33306.0
33,600882,妙可蓝多,33054.0
34,002762,金发拉比,32767.0
35,002865,钧达股份,32610.0
36,601012,隆基股份,32361.0
37,300459,汤姆猫,32182.0
38,002552,宝鼎科技,32105.0
39,603063,禾望电气,31742.0
40,301072,中捷精工,31592.0
41,300597,吉大通信,31572.0
42,300953,震裕科技,31541.0
43,002897,意华股份,31414.0
44,688303,大全能源,31360.0
45,002837,英维克,31346.0
46,000519,中兵红箭,31242.0
47,300969,恒帅股份,31031.0
48,600600,青岛啤酒,30792.0
49,601677,明泰铝业,30555.0
50,605337,李子园,30411.0
51,688103,国力股份,30012.0
52,600491,龙元建设,29869.0
53,688138,清溢光电,29766.0
54,300915,海融科技,29370.0
55,603520,司太立,29349.0
56,001215,千味央厨,28992.0
57,300317,珈伟新能,28746.0
58,300363,博腾股份,28734.0
59,600172,黄河旋风,28430.0
60,300682,朗新科技,28410.0
61,003021,兆威机电,28148.0
62,002129,中环股份,28078.0
63,000677,恒天海龙,28010.0
64,600742,一汽富维,27708.0
65,300258,精锻科技,27566.0
66,600732,爱旭股份,27560.0
67,600771,广誉远,27516.0
68,002612,朗姿股份,27352.0
69,300752,隆利科技,27244.0
70,603127,昭衍新药,27133.0
71,688202,美迪西,27126.0
72,688329,艾隆科技,26865.0
73,603305,旭升股份,26828.0
74,601208,东材科技,26680.0
75,002046,国机精工,26337.0
76,688516,奥特维,26300.0
77,688390,固德威,26140.0
78,301071,力量钻石,26047.0
79,600753,东方银星,25998.0
80,688008,澜起科技,25991.0
81,003038,鑫铂股份,25940.0
82,600132,重庆啤酒,25882.0
83,300027,华谊兄弟,25627.0
84,688269,凯立新材,25611.0
85,688598,金博股份,25458.0
86,300833,浩洋股份,25257.0
87,603690,至纯科技,25227.0
88,603185,上机数控,25144.0
89,002882,金龙羽,25104.0
90,603076,乐惠国际,25051.0
91,300148,天舟文化,24821.0
92,603324,盛剑环境,24753.0
93,300012,华测检测,24559.0
94,600201,生物股份,24557.0
95,300320,海达股份,24408.0
96,600696,岩石股份,24402.0
97,002806,华锋股份,24381.0
98,000558,莱茵体育,24343.0
99,688508,芯朋微,24318.0
100,600784,鲁银投资,24157.0
101,300698,万马科技,24112.0
102,002760,凤形股份,24035.0
103,603806,福斯特,23998.0
104,600335,国机汽车,23941.0
105,300494,盛天网络,23925.0
106,000821,京山轻机,23890.0
107,688621,阳光诺和,23880.0
108,300680,隆盛科技,23859.0
109,300536,农尚环境,23710.0
110,603630,拉芳家化,23650.0
111,603477,巨星农牧,23602.0
112,603283,赛腾股份,23551.0
113,600360,华微电子,23547.0
114,688383,新益昌,23421.0
115,002268,卫士通,23352.0
116,688157,松井股份,23190.0
117,601279,英利汽车,23180.0
118,688408,中信博,23148.0
119,601969,海南矿业,22935.0
120,600481,双良节能,22854.0
121,002469,三维化学,22579.0
122,300047,天源迪科,22524.0
123,301007,德迈仕,22388.0
124,002091,江苏国泰,22357.0
125,002026,山东威达,22256.0
126,600597,光明乳业,22142.0
127,002290,禾盛新材,22122.0
128,605266,健之佳,22107.0
129,688133,泰坦科技,22099.0
130,603258,电魂网络,22083.0
131,688518,联赢激光,22072.0
132,000887,中鼎股份,22009.0
133,300919,中伟股份,21999.0
134,000526,学大教育,21991.0
135,002824,和胜股份,21909.0
136,300294,博雅生物,21896.0
137,002048,宁波华翔,21846.0
138,603836,海程邦达,21822.0
139,603488,展鹏科技,21782.0
140,002687,乔治白,21732.0
141,000150,宜华健康,21714.0
142,688683,莱尔科技,21656.0
143,688560,明冠新材,21560.0
144,002297,博云新材,21490.0
145,300077,国民技术,21369.0
146,601528,瑞丰银行,21334.0
147,002801,微光股份,21200.0
148,300264,佳创视讯,21193.0
149,002815,崇达技术,21148.0
150,002093,国脉科技,21035.0
151,603179,新泉股份,21014.0
152,300010,豆神教育,20905.0
153,605378,野马电池,20892.0
154,605068,明新旭腾,20880.0
155,002036,联创电子,20852.0
156,003030,祖名股份,20818.0
157,000739,普洛药业,20783.0
158,688033,天宜上佳,20724.0
159,688595,芯海科技,20702.0
160,301062,上海艾录,20686.0
161,002607,中公教育,20613.0
162,600721,*ST百花,20606.0
163,002453,华软科技,20554.0
164,002906,华阳集团,20481.0
165,000752,*ST西发,20478.0
166,002104,恒宝股份,20474.0
167,600071,凤凰光学,20436.0
168,300327,中颖电子,20430.0
169,300034,钢研高纳,20396.0
170,603886,元祖股份,20329.0
171,002057,中钢天源,20314.0
172,300568,星源材质,20308.0
173,600330,天通股份,20254.0
174,002326,永太科技,20210.0
175,600238,海南椰岛,20170.0
176,002283,天润工业,20109.0
177,601908,京运通,20035.0
178,600641,万业企业,20003.0
179,600418,江淮汽车,20002.0
180,001219,青岛食品,19947.0
181,600315,上海家化,19935.0
182,600995,文山电力,19928.0
183,002910,庄园牧场,19899.0
184,605286,同力日升,19880.0
185,300282,三盛教育,19851.0
186,603006,联明股份,19837.0
187,605151,西上海,19813.0
188,000650,仁和药业,19791.0
189,688012,中微公司,19785.0
190,002946,新乳业,19764.0
191,600556,天下秀,19727.0
192,300835,龙磁科技,19693.0
193,600822,上海物贸,19654.0
194,600654,ST中安,19647.0
195,603129,春风动力,19604.0
196,002847,盐津铺子,19552.0
197,300638,广和通,19506.0
198,688135,利扬芯片,19502.0
199,603088,宁波精达,19449.0
200,300964,本川智能,19371.0
201,603866,桃李面包,19305.0
202,002216,三全食品,19154.0
203,003032,传智教育,19120.0
204,300073,当升科技,19056.0
205,300978,东箭科技,19044.0
206,601865,福莱特,19039.0
207,300310,宜通世纪,19020.0
208,300604,长川科技,18981.0
209,300158,振东制药,18960.0
210,300400,劲拓股份,18943.0
211,688777,中控技术,18874.0
212,688800,瑞可达,18761.0
213,600460,士兰微,18750.0
214,600298,安琪酵母,18722.0
215,301004,嘉益股份,18696.0
216,002623,亚玛顿,18640.0
217,300475,聚隆科技,18619.0
218,300351,永贵电器,18592.0
219,603688,石英股份,18536.0
220,603197,保隆科技,18533.0
221,000516,国际医学,18401.0
222,300892,品渥食品,18373.0
223,002597,金禾实业,18369.0
224,300042,朗科科技,18369.0
225,002706,良信股份,18294.0
226,300627,华测导航,18292.0
227,603198,迎驾贡酒,18245.0
228,688301,奕瑞科技,18215.0
229,300398,飞凯材料,18204.0
230,300118,东方日升,18150.0
231,600055,万东医疗,18138.0
232,300170,汉得信息,18096.0
233,002189,中光学,18096.0
234,688696,极米科技,18084.0
235,603399,吉翔股份,18062.0
236,300656,民德电子,18057.0
237,688019,安集科技,18040.0
238,300049,福瑞股份,17970.0
239,000938,紫光股份,17956.0
240,002425,凯撒文化,17930.0
241,003022,联泓新科,17903.0
242,688005,容百科技,17901.0
243,300303,聚飞光电,17873.0
244,600089,特变电工,17858.0
245,600779,水井坊,17828.0
246,688697,纽威数控,17805.0
247,002507,涪陵榨菜,17786.0
248,000848,承德露露,17738.0
249,688363,华熙生物,17702.0
250,000586,汇源通信,17695.0
251,300241,瑞丰光电,17648.0
252,688656,浩欧博,17640.0
253,300600,国瑞科技,17633.0
254,000301,东方盛虹,17593.0
255,300896,爱美客,17577.0
256,002617,露笑科技,17553.0
257,300373,扬杰科技,17545.0
258,300736,百邦科技,17525.0
259,688111,金山办公,17507.0
260,300390,天华超净,17460.0
261,002812,恩捷股份,17454.0
262,002705,新宝股份,17432.0
263,300146,汤臣倍健,17409.0
264,600085,同仁堂,17407.0
265,002506,协鑫集成,17395.0
266,300630,普利制药,17319.0
267,603730,岱美股份,17296.0
268,300653,正海生物,17280.0
269,600436,片仔癀,17280.0
270,300113,顺网科技,17276.0
271,002141,贤丰控股,17275.0
272,600226,ST瀚叶,17232.0
273,688239,航宇科技,17225.0
274,603059,倍加洁,17222.0
275,603105,芯能科技,17218.0
276,002776,ST柏龙,17157.0
277,300199,翰宇药业,17150.0
278,600375,汉马科技,17148.0
279,300863,卡倍亿,17120.0
280,000809,铁岭新城,17076.0
281,301059,金三江,17076.0
282,603755,日辰股份,17072.0
283,300315,掌趣科技,17070.0
284,603799,华友钴业,17043.0
285,601238,广汽集团,16990.0
286,002089,ST新海,16968.0
287,603228,景旺电子,16898.0
288,003036,泰坦股份,16877.0
289,300359,全通教育,16839.0
290,300763,锦浪科技,16630.0
291,002558,巨人网络,16616.0
292,605198,德利股份,16615.0
293,603020,爱普股份,16612.0
294,688010,福光股份,16550.0
295,300102,乾照光电,16518.0
296,300957,贝泰妮,16515.0
297,300635,中达安,16483.0
298,002592,ST八菱,16469.0
299,002027,分众传媒,16447.0
300,300002,神州泰岳,16425.0
301,603027,千禾味业,16424.0
302,600586,金晶科技,16332.0
303,300648,星云股份,16307.0
304,605577,龙版传媒,16296.0
305,300706,阿石创,16293.0
306,300015,爱尔眼科,16292.0
307,301015,百洋医药,16279.0
308,002282,博深股份,16248.0
309,000718,苏宁环球,16246.0
310,002022,科华生物,16210.0
311,300572,安车检测,16102.0
312,603099,长白山,16092.0
313,000420,吉林化纤,16052.0
314,300209,天泽信息,16037.0
315,002805,丰元股份,15996.0
316,300990,同飞股份,15941.0
317,603456,九洲药业,15929.0
318,002309,中利集团,15914.0
319,600259,广晟有色,15914.0
320,601633,长城汽车,15875.0
321,000980,*ST众泰,15866.0
322,002025,航天电器,15855.0
323,688707,振华新材-U,15850.0
324,688356,键凯科技,15777.0
325,600039,四川路桥,15752.0
326,300760,迈瑞医疗,15740.0
327,688168,安博通,15736.0
328,002312,川发龙蟒,15682.0
329,002770,*ST科迪,15660.0
330,688006,杭可科技,15656.0
331,300256,*ST星星,15655.0
332,603517,绝味食品,15618.0
333,300081,恒信东方,15606.0
334,600301,*ST南化,15597.0
335,300138,晨光生物,15596.0
336,300801,泰和科技,15582.0
337,301089,C拓新,15522.0
338,300691,联合光电,15510.0
339,300393,中来股份,15501.0
340,688778,厦钨新能,15472.0
341,603466,风语筑,15442.0
342,000403,派林生物,15424.0
343,688700,东威科技,15413.0
